"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 14 18:40:05 GMT 2022","Mon Mar 14 18:40:26 GMT 2022","20144","","JIT-Mobile-003-Screen-delete-screen","","JIT-Mobile-003-Screen-delete-screen","As a user, I can delete screen","As a user, I can delete screen",""
"passed","Mon Mar 14 18:47:09 GMT 2022","Mon Mar 14 18:47:31 GMT 2022","21981","","JIT-Mobile-021-DEFECT.Params.keep-params-after-refresh-page","","JIT-Mobile-021-DEFECT.Params.keep-params-after-refresh-page","As a user, I should check the params will be kept after refresh page","As a user, I should check the params will be kept after refresh page",""
"passed","Mon Mar 14 18:29:01 GMT 2022","Mon Mar 14 18:29:48 GMT 2022","47031","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","As a user, I should check the validation of DATETIME column definition","As a user, I should check the validation of DATETIME column definition",""
"failed","Mon Mar 14 18:39:38 GMT 2022","Mon Mar 14 18:40:02 GMT 2022","23262","","JIT-Mobile-002-Screen-update-screen","","JIT-Mobile-002-Screen-update-screen","As a user, I can update screen with positive and negative cases","As a user, I can update screen with positive and negative cases",""
"passed","Mon Mar 14 18:33:06 GMT 2022","Mon Mar 14 18:33:58 GMT 2022","52155","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should delete 1 item and check not display in default dropdown","As a user, I should delete 1 item and check not display in default dropdown",""
"failed","Mon Mar 14 18:42:28 GMT 2022","Mon Mar 14 18:42:51 GMT 2022","22399","","JIT-Mobile-006-Molecule-update-molecule","","JIT-Mobile-006-Molecule-update-molecule","As a user, I can update molecule with positive and negative cases","As a user, I can update molecule with positive and negative cases",""
"passed","Mon Mar 14 18:19:58 GMT 2022","Mon Mar 14 18:20:25 GMT 2022","27502","","JIT-Database-003-Check-create-empty-and-duplicated-column","","JIT-Database-003-Check-create-empty-and-duplicated-column","As a user, I cannot add empty column definition","As a user, I cannot add empty column definition",""
"broken","Mon Mar 14 18:38:35 GMT 2022","Mon Mar 14 18:39:34 GMT 2022","59399","","JIT-Mobile-001-Screen-create-new-screen","","JIT-Mobile-001-Screen-create-new-screen","As a user, I can create new screen with positive and negative cases","As a user, I can create new screen with positive and negative cases",""
"passed","Mon Mar 14 18:23:45 GMT 2022","Mon Mar 14 18:25:10 GMT 2022","84744","","JIT-Database-005-Check-validation-column-definition-type-FLOAT","","JIT-Database-005-Check-validation-column-definition-type-FLOAT","As a user, I should check the validation of FLOAT column definition","As a user, I should check the validation of FLOAT column definition",""
"passed","Mon Mar 14 18:18:50 GMT 2022","Mon Mar 14 18:19:20 GMT 2022","29771","","JIT-Database-001-Create-new-table","","JIT-Database-001-Create-new-table","As a user, I can update the value of the table","As a user, I can update the value of the table",""
"passed","Mon Mar 14 18:46:05 GMT 2022","Mon Mar 14 18:46:31 GMT 2022","25850","","JIT-Mobile-013-JITDEF-reflect-delete-screen-innavigation-tree","","JIT-Mobile-013-JITDEF-reflect-delete-screen-innavigation-tree","As a user, I should see screen will be removed in navigation tree after deleting screen","As a user, I should see screen will be removed in navigation tree after deleting screen",""
"passed","Mon Mar 14 18:34:50 GMT 2022","Mon Mar 14 18:35:39 GMT 2022","48912","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should delete all items and check all items are not displayed","As a user, I should delete all items and check all items are not displayed",""
"passed","Mon Mar 14 18:27:08 GMT 2022","Mon Mar 14 18:28:57 GMT 2022","109487","","JIT-Database-007-Check-validation-column-definition-type-TEXT","","JIT-Database-007-Check-validation-column-definition-type-TEXT","As a user, I should check the validation of TEXT column definition","As a user, I should check the validation of TEXT column definition",""
"passed","Mon Mar 14 18:30:44 GMT 2022","Mon Mar 14 18:31:31 GMT 2022","47411","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","","JIT-Database-009-Check-validation-column-definition-type-BOOLEAN","As a user, I should check the validation of BOOLEAN column definition","As a user, I should check the validation of BOOLEAN column definition",""
"passed","Mon Mar 14 18:43:20 GMT 2022","Mon Mar 14 18:45:04 GMT 2022","103243","","JIT-Mobile-010-JITDEF14-rename-without-focusing","","JIT-Mobile-010-JITDEF14-rename-without-focusing","As a user, I could rename the screen/molecule without focusing","As a user, I could rename the screen/molecule without focusing",""
"passed","Mon Mar 14 18:45:07 GMT 2022","Mon Mar 14 18:45:31 GMT 2022","23538","","JIT-Mobile-011-JITDEF50-disable-add-duplicate-screen-in-stack","","JIT-Mobile-011-JITDEF50-disable-add-duplicate-screen-in-stack","As a user, I could add duplicate screen in stack","As a user, I could add duplicate screen in stack",""
"passed","Mon Mar 14 18:40:29 GMT 2022","Mon Mar 14 18:41:22 GMT 2022","52318","","JIT-Mobile-004-Screen-duplicate-screen","","JIT-Mobile-004-Screen-duplicate-screen","As a user, I can duplicate screen with positive and negative cases","As a user, I can duplicate screen with positive and negative cases",""
"passed","Mon Mar 14 18:31:37 GMT 2022","Mon Mar 14 18:32:17 GMT 2022","39816","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should check the basic validation","As a user, I should check the basic validation",""
"broken","Mon Mar 14 18:41:25 GMT 2022","Mon Mar 14 18:42:25 GMT 2022","59320","","JIT-Mobile-005-Moelcule-create-new-molecule","","JIT-Mobile-005-Moelcule-create-new-molecule","As a user, I can create new molecule with positive and negative cases","As a user, I can create new molecule with positive and negative cases",""
"passed","Mon Mar 14 18:45:34 GMT 2022","Mon Mar 14 18:46:01 GMT 2022","26468","","JIT-Mobile-012-JITDEF-remove-poperty-info-after-deleting-navigation","","JIT-Mobile-012-JITDEF-remove-poperty-info-after-deleting-navigation","As a user, I should see the property infos need to be removed after the navigation was deleted","As a user, I should see the property infos need to be removed after the navigation was deleted",""
"passed","Mon Mar 14 18:18:06 GMT 2022","Mon Mar 14 18:18:24 GMT 2022","17545","","JIT-Database-001-Create-new-table","","JIT-Database-001-Create-new-table","As a user, I cannot create table with empty name","As a user, I cannot create table with empty name",""
"passed","Mon Mar 14 18:20:25 GMT 2022","Mon Mar 14 18:22:05 GMT 2022","100377","","JIT-Database-003-Check-create-empty-and-duplicated-column","","JIT-Database-003-Check-create-empty-and-duplicated-column","As a user, I cannot add duplicated column definition","As a user, I cannot add duplicated column definition",""
"passed","Mon Mar 14 18:29:48 GMT 2022","Mon Mar 14 18:30:40 GMT 2022","52513","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","","JIT-Database-008-Check-validation-column-definition-type-DATE-TIME","As a user, I should check the validation of DATE column definition","As a user, I should check the validation of DATE column definition",""
"passed","Mon Mar 14 18:17:12 GMT 2022","Mon Mar 14 18:18:06 GMT 2022","54022","","JIT-Database-001-Create-new-table","","JIT-Database-001-Create-new-table","As a user, I can create new table","As a user, I can create new table",""
"passed","Mon Mar 14 18:35:39 GMT 2022","Mon Mar 14 18:36:21 GMT 2022","42508","","JIT-Database-011-Check-validation-column-definition-type-ENUM","","JIT-Database-011-Check-validation-column-definition-type-ENUM","As a user, I should check counld not add duplicated item","As a user, I should check counld not add duplicated item",""
